number,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,lines_added,lines_deleted,files_changed,commits,change_num,prev_PRs,title_words,body_words,reviews_count,reviews_users,reviews_avg_len,reviews_time_span_hours,files_count,files_avg_additions,files_avg_deletions,files_avg_changes,files_avg_patch_chars,files_avg_patch_lines
157798,0,0,0,0,0,0,25,1,2,1,2.0,3,7,5,1.0,1.0,0.0,0.0,2.0,12.5,0.5,13.0,685.5,20.5
157790,0,0,0,0,0,0,4,12,2,1,1.165137614678899,106,7,36,2.0,2.0,2.5,4.063055555555556,2.0,2.0,6.0,8.0,1125.5,26.0
157816,1,0,0,0,0,0,9,0,1,1,1.6941176470588235,81,8,12,0.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,3925.0,69.0
157788,0,0,0,0,0,0,8,38,1,1,1.165137614678899,104,5,9,1.0,1.0,0.0,0.0,1.0,8.0,38.0,46.0,4538.0,97.0
157789,0,0,0,0,0,0,2,2,1,1,1.165137614678899,105,7,9,2.0,2.0,0.0,7.958888888888889,1.0,2.0,2.0,4.0,658.0,18.0
157787,0,0,0,0,0,0,50,5,2,1,1.075,38,10,13,0.0,0.0,0.0,0.0,2.0,25.0,2.5,27.5,1616.5,39.0
157786,0,0,0,0,0,0,14,1,2,1,1.075,37,9,9,0.0,0.0,0.0,0.0,2.0,7.0,0.5,7.5,355.5,13.0
157784,0,0,0,0,0,0,26,5,2,1,1.075,35,8,31,0.0,0.0,0.0,0.0,2.0,13.0,2.5,15.5,1286.0,31.5
157785,0,0,0,0,0,0,9,7,1,1,1.075,36,12,12,0.0,0.0,0.0,0.0,1.0,9.0,7.0,16.0,1302.0,35.0
157781,0,0,0,0,0,0,117,4,2,1,1.075,34,7,9,0.0,0.0,0.0,0.0,2.0,58.5,2.0,60.5,2316.5,76.0
157777,0,0,0,0,0,0,12,4,2,5,1.8518518518518519,48,7,10,4.0,3.0,0.25,11.909166666666666,2.0,6.0,2.0,8.0,1317.0,18.5
157780,0,0,0,0,0,0,4,0,1,1,1.0952380952380953,20,8,0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,517.0,21.0
157770,0,0,0,0,0,0,210,1,7,4,4.0,0,8,133,2.0,2.0,18.0,9.905833333333334,7.0,30.0,0.14285714285714285,30.142857142857142,1543.4285714285713,40.57142857142857
157773,0,0,0,0,0,0,14,34,4,1,2.0,8,8,21,1.0,1.0,0.0,0.0,4.0,3.5,8.5,12.0,1324.75,36.75
157769,0,0,0,0,0,0,3,2,1,1,1.1666666666666667,5,6,0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,5.0,840.0,17.0
157768,0,0,0,0,0,0,80,1,2,4,3.0,2,7,54,1.0,1.0,3.0,0.0,2.0,40.0,0.5,40.5,2176.0,52.5
157766,0,0,0,0,0,0,291,157,4,5,1.8518518518518519,47,11,10,2.0,2.0,0.5,2.1694444444444443,4.0,72.75,39.25,112.0,7664.25,136.25
157758,0,0,0,0,0,0,6,6,2,1,1.8518518518518519,46,5,23,1.0,1.0,1.0,0.0,2.0,3.0,3.0,6.0,743.5,16.5
157750,0,0,0,0,0,0,4,3,1,1,1.7272727272727273,9,10,39,1.0,1.0,0.0,0.0,1.0,4.0,3.0,7.0,1456.0,35.0
157756,1,0,0,0,0,0,80,17,4,2,2.5,1,12,29,1.0,1.0,1.0,0.0,4.0,20.0,4.25,24.25,1629.25,44.0
157747,0,0,0,0,0,0,2,344,14,2,1.9285714285714286,9,5,25,1.0,1.0,0.0,0.0,14.0,0.14285714285714285,24.571428571428573,24.714285714285715,1780.5714285714287,32.07142857142857
157746,1,0,0,0,0,0,93,1,5,5,2.0,17,12,22,7.0,3.0,1.4285714285714286,0.43166666666666664,5.0,18.6,0.2,18.8,708.8,24.2
157744,0,0,0,0,0,0,0,51,1,1,2.0,5,7,10,1.0,1.0,0.0,0.0,1.0,0.0,51.0,51.0,1470.0,52.0
157741,0,0,0,0,0,0,4,1,2,1,1.8,4,8,104,2.0,2.0,17.0,18.69638888888889,2.0,2.0,0.5,2.5,704.5,9.5
157745,0,0,0,0,0,0,34281,14337,956,430,430.0,0,3,0,0.0,0.0,0.0,0.0,956.0,35.85878661087866,14.996861924686192,50.85564853556485,3150.3221757322176,67.67154811715481
157739,0,0,0,0,0,0,251,0,6,3,2.0,16,8,16,4.0,3.0,0.25,1.1705555555555556,6.0,41.833333333333336,0.0,41.833333333333336,1442.5,49.0
157731,0,0,0,0,0,0,97,33,11,4,1.9285714285714286,8,10,40,2.0,2.0,2.0,0.06916666666666667,11.0,8.818181818181818,3.0,11.818181818181818,1395.0,28.818181818181817
157728,1,0,0,0,0,0,1,0,1,1,1.0952380952380953,19,10,60,2.0,2.0,0.0,0.13694444444444445,1.0,1.0,0.0,1.0,396.0,7.0
157735,0,0,0,1,0,0,42,1,1,3,1.8518518518518519,45,10,13,2.0,2.0,0.0,1.0194444444444444,1.0,42.0,1.0,43.0,4534.0,51.0
157722,0,0,0,0,0,0,2,0,1,1,1.0952380952380953,18,7,0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,581.0,16.0
157720,0,0,0,0,0,0,12,2,2,1,1.8518518518518519,44,6,0,2.0,2.0,0.5,0.17527777777777778,2.0,6.0,1.0,7.0,3422.5,42.0
157715,0,0,0,0,0,0,1,1,1,1,1.0,1,8,6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,291.0,9.0
157718,0,0,0,0,0,0,128,419,22,1,1.0,0,5,19,0.0,0.0,0.0,0.0,22.0,5.818181818181818,19.045454545454547,24.863636363636363,1630.4545454545455,39.63636363636363
157724,0,0,0,0,0,0,2,0,1,1,1.9523809523809523,20,7,31,2.0,2.0,1.0,0.2713888888888889,1.0,2.0,0.0,2.0,419.0,9.0
157716,0,0,0,0,0,0,5,2,1,1,1.8333333333333333,5,8,151,1.0,1.0,3.0,0.0,1.0,5.0,2.0,7.0,766.0,15.0
157711,0,0,0,0,0,0,3,92,13,1,1.0344827586206897,28,3,7,1.0,1.0,0.0,0.0,13.0,0.23076923076923078,7.076923076923077,7.3076923076923075,616.4615384615385,15.23076923076923
157713,0,0,0,0,0,0,117,13,7,2,1.9523809523809523,19,6,43,6.0,3.0,0.16666666666666666,0.7844444444444445,7.0,16.714285714285715,1.8571428571428572,18.571428571428573,1338.5714285714287,28.571428571428573
157708,1,0,0,0,0,0,192,17,3,1,1.3333333333333333,2,11,62,1.0,1.0,1.0,0.0,3.0,64.0,5.666666666666667,69.66666666666667,7148.333333333333,119.33333333333333
157707,0,1,0,0,0,0,12,3,1,1,1.8333333333333333,4,8,125,1.0,1.0,5.0,0.0,1.0,12.0,3.0,15.0,745.0,23.0
157702,0,0,0,0,0,0,14,12,1,1,1.8333333333333333,3,9,79,2.0,2.0,2.0,1.84,1.0,14.0,12.0,26.0,4209.0,79.0
